source_id,section,source_page,section_row_ordinal,document_row_ordinal,parish_raw,local_authority_raw,shelter_name_raw,shelter_address_raw,community_raw,priority_shelter_raw,capacity_raw,zone_raw,areas_served_raw
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,2,1,1,St. Catherine,Portmore Municipal Corporation,Ascot High School (Priority),"1 North, Greater Portmore",Greater Portmore,Ascot High School,120,Greater Portmore,"Daytona, Monza, East and West Ascot"
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,2,2,2,St. Catherine,Portmore Municipal Corporation,Assembly of Rightousness (Priority),"Quary Hill, St. Catherine",Quarry Hill,Assembly of Righteousness,80,Quarry Hill,Quary Hill
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,2,3,3,St. Catherine,Portmore Municipal Corporation,Belmont Park Primary,"6 West, Greater Portmore",Greater Portmore,,60,Greater Portmore,"Greater Portmore 5, 7 & 8 West"
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,2,4,4,St. Catherine,Portmore Municipal Corporation,Bethel Gospel Assembly,"Christian Pen, Gregory Park",Gregory Park,,N/A,Old Portmore,Christian Meadows
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,2,5,5,St. Catherine,Portmore Municipal Corporation,Breaton Primary,Braeton Ave. Portmore,Braeton,,100,Greater Portmore,"Old Breaton, Aintree, Calder"
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,2,6,6,St. Catherine,Portmore Municipal Corporation,Bridgeport High,"1 Gibson Road, Portmore",Bridgeport,,30,Old Portmore,Bridgeport Community
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,2,7,7,St. Catherine,Portmore Municipal Corporation,Clifton Basic School (Priority),"Clifton, St. Catherine",Clifton,Clifton Basic School,N/A,Bernard Lodge,"Lakes Pen, Lime tree Grove, Phoenix Park, Dunbeholden, Bernard Lodge"
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,2,8,8,St. Catherine,Portmore Municipal Corporation,Cumberland High,"Cumberland Drive, Portmore",Cumberland,,50,Old Portmore,"Portmore Lane, Cumberland"
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,2,9,9,St. Catherine,Portmore Municipal Corporation,Glad Tidings Church,"Christian Pen, Gregory Park",Gregory Park,,35,Gregory Park,"Christian Pen, Gregory Park"
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,3,10,10,St. Catherine,Portmore Municipal Corporation,Gregory Park Primary (Priority),"1 Cottage Drive, Gregory Park",Gregory Park,Gregory Park Primary,66,Old Portmore,"Gregory Park, Gaymanas Garden"
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,3,11,11,St. Catherine,Portmore Municipal Corporation,Heart College of Construction Services (Priority),Waterford Portmore,Waterford,Heart College of Construction Services,170,Old Portmore,"Portsmouth,Waterford Pt Henderson, Edgewater"
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,3,12,12,St. Catherine,Portmore Municipal Corporation,Hellshire United Pentecostal Church,"379 Boulder Crescent, Upperfort 'B', Hellshire",Hellshire,,40,Hellshire,"Hellshire fishing village, Hellshire Park"
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,3,13,13,St. Catherine,Portmore Municipal Corporation,Independence City Primary,"10 Tampa Avenue, Portmore",Independence City,Kensington,80,Old Portmore,Independence City
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,3,14,14,St. Catherine,Portmore Municipal Corporation,Kensington (Priority),"4 East 3rd Street, Greater Portmore",Greater Portmore,,150,Greater Portmore,"Greater Portmore 2,3,4 & 5 East"
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,3,15,15,St. Catherine,Portmore Municipal Corporation,Naggo Head Primary School (Priority),Naggo Head,Naggo Head,Naggo Head Primary School,72,Old Portmore,Naggo head community
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,3,16,16,St. Catherine,Portmore Municipal Corporation,Portsmouth Primary School(Priority),"Angerstein Road, Portmore",Portsmouth,Portsmouth Primary School,12,Old Portmore,"Portsmouth, Waterford, Passagefort"
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,3,17,17,St. Catherine,Portmore Municipal Corporation,Southborough Primary School (Priority),"1a Augusta Drive, Portmore",Southborough,Southborough Primary School,200,Old Portmore,"Pt. Henderson, Independence City"
odpem_portmore_shelters_2019,PORTMORE CITY MUNICIPALITY,3,18,18,St. Catherine,Portmore Municipal Corporation,Waterford Primary,"Caymanas Drive, Waterford",Waterford,,N/A,Old Portmore,Waterford Community
odpem_portmore_shelters_2019,Emergency Shelter outside Portmore,4,1,19,St. Catherine,St. Catherine Municipal Corporation,G.C Foster College,"Angels, Walks Road Spanish Town",Spanish Town,G.C Foster College,500,Spanish Town,Portmore
odpem_portmore_shelters_2019,Emergency Shelter outside Portmore,4,2,20,Kingston and St. Andrew,Kingston and St. Andrew Municipal Corporation,National Arena,1 Statute Road,Swallowfield,National Arena,1683,Cross Roads,"Portmore Residents Swallowfield Proper, Stadium Gardens, Roosevelt/ Little Retreat, Mountain Court, Mountain Terrace"
