dataset_id,relative_path,filename,source_url,provider,source_version,source_year,downloaded_at_utc,captured_at_utc,size_bytes,sha256,license,event_role,notes,granule_start_utc,granule_end_utc,source_granule_id
nasa_gpm_imerg_final_v07b_portmore_october_2020,nasa_gpm_imerg/GPM_3IMERGHH_07/V07B/2020/10/3B-HHR.MS.MRG.3IMERG.20201004-S050000-E052959.0300.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20201004-S050000-E052959.0300.V07B.HDF5,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2020/278/3B-HHR.MS.MRG.3IMERG.20201004-S050000-E052959.0300.V07B.HDF5,NASA GES DISC,GPM_3IMERGHH_07 / V07B,2020,2026-08-16T05:04:33.612562Z,2026-08-16T05:35:47.613519Z,8531022,5954ed84d657d5a4b5780ca2a68b611ee43a263019900f258caeb263c47981dc,NASA Earth science data; retain NASA/GPM attribution and source URL,development_calibration,downloaded_at_utc is host filesystem mtime; no separate operator retrieval record was supplied.,2020-10-04T05:00:00Z,2020-10-04T05:30:00Z,GPM_3IMERGHH.07:3B-HHR.MS.MRG.3IMERG.20201004-S050000-E052959.0300.V07B.HDF5
nasa_gpm_imerg_final_v07b_portmore_october_2020,nasa_gpm_imerg/GPM_3IMERGHH_07/V07B/2020/10/3B-HHR.MS.MRG.3IMERG.20201004-S053000-E055959.0330.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20201004-S053000-E055959.0330.V07B.HDF5,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2020/278/3B-HHR.MS.MRG.3IMERG.20201004-S053000-E055959.0330.V07B.HDF5,NASA GES DISC,GPM_3IMERGHH_07 / V07B,2020,2026-08-16T05:12:16.774331Z,2026-08-16T05:35:47.637368Z,8602204,d7e251bda3b5be5bd201564b3e215bdef66ed3adedd1f62a2ea6c3f4572afc89,NASA Earth science data; retain NASA/GPM attribution and source URL,development_calibration,downloaded_at_utc is host filesystem mtime; no separate operator retrieval record was supplied.,2020-10-04T05:30:00Z,2020-10-04T06:00:00Z,GPM_3IMERGHH.07:3B-HHR.MS.MRG.3IMERG.20201004-S053000-E055959.0330.V07B.HDF5
nasa_gpm_imerg_final_v07b_portmore_october_2020,nasa_gpm_imerg/GPM_3IMERGHH_07/V07B/2020/10/3B-HHR.MS.MRG.3IMERG.20201004-S060000-E062959.0360.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20201004-S060000-E062959.0360.V07B.HDF5,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2020/278/3B-HHR.MS.MRG.3IMERG.20201004-S060000-E062959.0360.V07B.HDF5,NASA GES DISC,GPM_3IMERGHH_07 / V07B,2020,2026-08-16T05:12:18.478030Z,2026-08-16T05:35:47.662558Z,8489610,2d99db8699ff28dd09162fc40c0fac75ce39af9726f5079debe9b365e27f6e1c,NASA Earth science data; retain NASA/GPM attribution and source URL,development_calibration,downloaded_at_utc is host filesystem mtime; no separate operator retrieval record was supplied.,2020-10-04T06:00:00Z,2020-10-04T06:30:00Z,GPM_3IMERGHH.07:3B-HHR.MS.MRG.3IMERG.20201004-S060000-E062959.0360.V07B.HDF5
nasa_gpm_imerg_final_v07b_portmore_october_2020,nasa_gpm_imerg/GPM_3IMERGHH_07/V07B/2020/10/3B-HHR.MS.MRG.3IMERG.20201004-S063000-E065959.0390.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20201004-S063000-E065959.0390.V07B.HDF5,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2020/278/3B-HHR.MS.MRG.3IMERG.20201004-S063000-E065959.0390.V07B.HDF5,NASA GES DISC,GPM_3IMERGHH_07 / V07B,2020,2026-08-16T05:12:19.869116Z,2026-08-16T05:35:47.689032Z,8654082,5e8c32ba2fdb8a97528aab1bec7dadee265b0859fdf1d9527e26ca87f04ce298,NASA Earth science data; retain NASA/GPM attribution and source URL,development_calibration,downloaded_at_utc is host filesystem mtime; no separate operator retrieval record was supplied.,2020-10-04T06:30:00Z,2020-10-04T07:00:00Z,GPM_3IMERGHH.07:3B-HHR.MS.MRG.3IMERG.20201004-S063000-E065959.0390.V07B.HDF5
nasa_gpm_imerg_final_v07b_portmore_october_2020,nasa_gpm_imerg/GPM_3IMERGHH_07/V07B/2020/10/3B-HHR.MS.MRG.3IMERG.20201004-S070000-E072959.0420.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20201004-S070000-E072959.0420.V07B.HDF5,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2020/278/3B-HHR.MS.MRG.3IMERG.20201004-S070000-E072959.0420.V07B.HDF5,NASA GES DISC,GPM_3IMERGHH_07 / V07B,2020,2026-08-16T05:12:21.161705Z,2026-08-16T05:35:47.716832Z,8568493,1aac84537a49f59f6dc57f4241fc4a940bf7550170552ee0434aec199fcda819,NASA Earth science data; retain NASA/GPM attribution and source URL,development_calibration,downloaded_at_utc is host filesystem mtime; no separate operator retrieval record was supplied.,2020-10-04T07:00:00Z,2020-10-04T07:30:00Z,GPM_3IMERGHH.07:3B-HHR.MS.MRG.3IMERG.20201004-S070000-E072959.0420.V07B.HDF5
nasa_gpm_imerg_final_v07b_portmore_october_2020,nasa_gpm_imerg/GPM_3IMERGHH_07/V07B/2020/10/3B-HHR.MS.MRG.3IMERG.20201004-S073000-E075959.0450.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20201004-S073000-E075959.0450.V07B.HDF5,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2020/278/3B-HHR.MS.MRG.3IMERG.20201004-S073000-E075959.0450.V07B.HDF5,NASA GES DISC,GPM_3IMERGHH_07 / V07B,2020,2026-08-16T05:12:22.866220Z,2026-08-16T05:35:47.742975Z,8565857,d8bec982e0829f756e103396531621cba9bd527881a904c29608f6d52e8b9eed,NASA Earth science data; retain NASA/GPM attribution and source URL,development_calibration,downloaded_at_utc is host filesystem mtime; no separate operator retrieval record was supplied.,2020-10-04T07:30:00Z,2020-10-04T08:00:00Z,GPM_3IMERGHH.07:3B-HHR.MS.MRG.3IMERG.20201004-S073000-E075959.0450.V07B.HDF5
nasa_gpm_imerg_final_v07b_portmore_october_2020,nasa_gpm_imerg/GPM_3IMERGHH_07/V07B/2020/10/3B-HHR.MS.MRG.3IMERG.20201004-S080000-E082959.0480.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20201004-S080000-E082959.0480.V07B.HDF5,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2020/278/3B-HHR.MS.MRG.3IMERG.20201004-S080000-E082959.0480.V07B.HDF5,NASA GES DISC,GPM_3IMERGHH_07 / V07B,2020,2026-08-16T05:12:25.244506Z,2026-08-16T05:35:47.766083Z,8626588,143c072f378ad8242a4c1c98cc15319f8f2e67f85b0668c27082930da2f1bcc7,NASA Earth science data; retain NASA/GPM attribution and source URL,development_calibration,downloaded_at_utc is host filesystem mtime; no separate operator retrieval record was supplied.,2020-10-04T08:00:00Z,2020-10-04T08:30:00Z,GPM_3IMERGHH.07:3B-HHR.MS.MRG.3IMERG.20201004-S080000-E082959.0480.V07B.HDF5
nasa_gpm_imerg_final_v07b_portmore_october_2020,nasa_gpm_imerg/GPM_3IMERGHH_07/V07B/2020/10/3B-HHR.MS.MRG.3IMERG.20201004-S083000-E085959.0510.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20201004-S083000-E085959.0510.V07B.HDF5,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2020/278/3B-HHR.MS.MRG.3IMERG.20201004-S083000-E085959.0510.V07B.HDF5,NASA GES DISC,GPM_3IMERGHH_07 / V07B,2020,2026-08-16T05:12:27.604108Z,2026-08-16T05:35:47.790735Z,8518322,09550ab79252e6b22a78d9c0586362217a9d60a047c94b83dadf10e42117cbf9,NASA Earth science data; retain NASA/GPM attribution and source URL,development_calibration,downloaded_at_utc is host filesystem mtime; no separate operator retrieval record was supplied.,2020-10-04T08:30:00Z,2020-10-04T09:00:00Z,GPM_3IMERGHH.07:3B-HHR.MS.MRG.3IMERG.20201004-S083000-E085959.0510.V07B.HDF5
nasa_gpm_imerg_final_v07b_portmore_october_2020,nasa_gpm_imerg/GPM_3IMERGHH_07/V07B/2020/10/3B-HHR.MS.MRG.3IMERG.20201004-S090000-E092959.0540.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20201004-S090000-E092959.0540.V07B.HDF5,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2020/278/3B-HHR.MS.MRG.3IMERG.20201004-S090000-E092959.0540.V07B.HDF5,NASA GES DISC,GPM_3IMERGHH_07 / V07B,2020,2026-08-16T05:12:28.883368Z,2026-08-16T05:35:47.815309Z,8534107,d193d3993b53925092c9b3aa927a6b6c026bacfbd1d50cb4dacc1fca103ae7b0,NASA Earth science data; retain NASA/GPM attribution and source URL,development_calibration,downloaded_at_utc is host filesystem mtime; no separate operator retrieval record was supplied.,2020-10-04T09:00:00Z,2020-10-04T09:30:00Z,GPM_3IMERGHH.07:3B-HHR.MS.MRG.3IMERG.20201004-S090000-E092959.0540.V07B.HDF5
nasa_gpm_imerg_final_v07b_portmore_october_2020,nasa_gpm_imerg/GPM_3IMERGHH_07/V07B/2020/10/3B-HHR.MS.MRG.3IMERG.20201004-S093000-E095959.0570.V07B.HDF5,3B-HHR.MS.MRG.3IMERG.20201004-S093000-E095959.0570.V07B.HDF5,https://data.gesdisc.earthdata.nasa.gov/data/GPM_L3/GPM_3IMERGHH.07/2020/278/3B-HHR.MS.MRG.3IMERG.20201004-S093000-E095959.0570.V07B.HDF5,NASA GES DISC,GPM_3IMERGHH_07 / V07B,2020,2026-08-16T05:12:30.191640Z,2026-08-16T05:35:47.837013Z,8518324,3f2ea870889e8ca823a9ac47037829d4fcf43534ef2211b9692a34997562090c,NASA Earth science data; retain NASA/GPM attribution and source URL,development_calibration,downloaded_at_utc is host filesystem mtime; no separate operator retrieval record was supplied.,2020-10-04T09:30:00Z,2020-10-04T10:00:00Z,GPM_3IMERGHH.07:3B-HHR.MS.MRG.3IMERG.20201004-S093000-E095959.0570.V07B.HDF5
